energy	2w	c0	phi0	c1	phi1	c2	phi2
-1.42378786939891	40.2619243840617	0.713214158803477	1.37387230176633	0.516087860249754	4.92767143044997	2.57246401790496	2.9779658268195
-1.42372618216983	40.2636029790785	0.713952321535664	1.37388440270142	0.516056638264622	4.92771496208086	2.57254398529331	2.97802985371787
-1.42366449494076	40.2652815740954	0.714691332371205	1.37389649692818	0.516025434168176	4.92775848361167	2.57262442749063	2.97809386717086
-1.42360280771168	40.2669601691122	0.71543119331865	1.373908584296	0.515994247941351	4.92780199523677	2.57270534557248	2.97815786719637
-1.42354112048261	40.2686387641291	0.716171906477298	1.37392066489629	0.515963079586484	4.92784549682447	2.57278674118831	2.97822185376662
-1.42347943325353	40.2703173591459	0.716913473897607	1.37393273866578	0.515931929093912	4.92788898842008	2.57286861520984	2.97828582691653
-1.42341774602445	40.2719959541627	0.717655897690767	1.37394480568049	0.515900796451942	4.92793247009527	2.57295096926341	2.97834978662057
-1.42335605879537	40.2736745491796	0.718399179932486	1.37395686590923	0.515869681667654	4.92797594165587	2.57303380438958	2.97841373290085
-1.4232943715663	40.2753531441965	0.719143322699412	1.37396891929051	0.515838584728206	4.92801940319322	2.57311712185115	2.97847766576135
-1.42323268433722	40.2770317392133	0.719888328147705	1.37398096598183	0.515807505610205	4.92806285493102	2.57320092291425	2.97854158520653
-1.42317099710815	40.2787103342301	0.720634198324501	1.37399300580355	0.515776444324665	4.92810629662654	2.57328520893662	2.97860549123389
-1.42310930987907	40.280388929247	0.721380935408169	1.37400503893246	0.515745400853269	4.92814972843095	2.57336998116172	2.97866938385015
-1.42304762264999	40.2820675242638	0.722128541478517	1.37401706524784	0.515714375208075	4.92819315009505	2.57345524089355	2.97873326305797
-1.42298593542092	40.2837461192807	0.722877018687304	1.37402908479502	0.515683367361525	4.92823656188917	2.57354098922804	2.97879712887454
-1.42292424819184	40.2854247142975	0.723626369171985	1.37404109759188	0.515652377315487	4.92827996369829	2.57362722784702	2.97886098127611
-1.42286256096277	40.2871033093143	0.724376595057072	1.3740531035652	0.515621405056894	4.92832335559441	2.57371395768555	2.9789248202917
-1.42280087373369	40.2887819043312	0.72512769855803	1.3740651028947	0.515590450585313	4.92836673749444	2.5738011802362	2.97898864591197
-1.42273918650461	40.290460499348	0.725879681763193	1.37407709539117	0.515559513895614	4.9284101093757	2.5738888965733	2.97905245815635
-1.42267749927554	40.2921390943649	0.726632546857665	1.37408908108912	0.515528594965505	4.9284534714192	2.57397710823799	2.97911625701246
-1.42261581204646	40.2938176893817	0.727386296052306	1.37410106010163	0.515497693794064	4.9284968235438	2.57406581649194	2.97918004248746
-1.42255412481738	40.2954962843985	0.728140931493293	1.37411303233242	0.515466810386131	4.92854016560942	2.57415502256618	2.9792438145909
-1.42249243758831	40.2971748794154	0.728896455419193	1.3741249979231	0.515435944704876	4.92858349795612	2.57424472779807	2.97930757332514
-1.42243075035923	40.2988534744322	0.729652869920246	1.37413695655962	0.515405096779399	4.92862682015893	2.57433493353222	2.97937131869256
-1.42236906313015	40.3005320694491	0.7304101773202	1.37414890860229	0.51537426657429	4.9286701325391	2.57442564102711	2.97943505070102
-1.42230737590108	40.3022106644659	0.731168379787471	1.37416085392156	0.515343454100635	4.92871343488585	2.57451685165371	2.97949876935195
-1.422245688672	40.3038892594827	0.731927479504528	1.3741727924159	0.515312659340903	4.92875672731009	2.57460856689269	2.97956247464
-1.42218400144293	40.3055678544996	0.732687478758592	1.37418472426068	0.515281882273692	4.9288000099604	2.57470078783853	2.97962616658388
-1.42212231421385	40.3072464495164	0.733448379735321	1.3741966493173	0.515251122915494	4.92884328257104	2.57479351582647	2.97968984518759
-1.42206062698477	40.3089250445333	0.734210184714055	1.37420856770849	0.515220381248444	4.92888654525374	2.57488675240253	2.979753510443
-1.4219989397557	40.3106036395501	0.734972895913364	1.37422047933699	0.515189657252773	4.92892979813182	2.57498049881768	2.97981716235972
-1.42193725252662	40.312282234567	0.735736515591253	1.37423238421261	0.51515895093473	4.92897304105433	2.57507475634182	2.97988080094634
-1.42187556529754	40.3139608295838	0.736501046062793	1.37424428248629	0.515128262283533	4.92901627405156	2.5751695264171	2.97994442620178
-1.42181387806847	40.3156394246007	0.7372664895351	1.37425617397301	0.515097591284008	4.9290594971968	2.57526481030131	2.98000803813568
-1.42175219083939	40.3173180196175	0.738032848308235	1.37426805873131	0.515066937932781	4.92910271044137	2.57536060954327	2.98007163674133
-1.42169050361031	40.3189966146343	0.738800124688464	1.3742799368251	0.515036302231046	4.92914591369011	2.57545692537034	2.98013522203087
-1.42162881638124	40.3206752096512	0.739568320911858	1.3742918080704	0.515005684149123	4.9291891071591	2.57555375909963	2.98019879401068
-1.42156712915216	40.322353804668	0.740337439386178	1.37430367279631	0.514975083682344	4.92923229080747	2.5756511122023	2.9802623526796
-1.42150544192309	40.3240323996849	0.741107482353555	1.37431553079468	0.514944500851259	4.92927546435714	2.5757489860331	2.98032589804283
-1.42144375469401	40.3257109947017	0.741878452114778	1.37432738201467	0.514913935606094	4.92931862820756	2.57584738197806	2.98038943010402
-1.42138206746493	40.3273895897185	0.742650351046998	1.37433922661704	0.514883387972279	4.92936178203353	2.57594630137289	2.98045294886975
-1.42132038023586	40.3290681847354	0.743423181454816	1.37435106451041	0.514852857918723	4.92940492605091	2.57604574574427	2.98051645433733
-1.42125869300678	40.3307467797522	0.744196945664223	1.37436289565297	0.514822345430576	4.92944806031594	2.57614571627466	2.98057994652096
